"Study","N","Mean Age (mos.)","Test Language","Method","Estimate","CI"
"Cooper & Aslin (1990)",12,1.1,"Native","Central fixation",0.689513180009537,"[0.06, 1.32]"
"Cooper & Aslin (1990)",16,0.1,"Native","Central fixation",0.789944866954881,"[0.23, 1.35]"
"Cooper & Aslin (1994)",12,1.1,"Native","Central fixation",-0.0386746807953744,"[-0.60, 0.53]"
"Cooper & Aslin (1994)",20,1.1,"Native","Central fixation",0.27,"[-0.61, 1.15]"
"Cooper & Aslin (1994)",10,1.1,"Native","Central fixation",1.24184984662166,"[0.42, 2.07]"
"Cooper & Aslin (1994)",10,1.1,"Native","Central fixation",-0.279891334248482,"[-0.91, 0.35]"
"Cooper et al. (1997)",20,1.3,"Native","Central fixation",-0.360412516046431,"[-0.81, 0.09]"
"Cooper et al. (1997)",20,1.4,"Native","Central fixation",0.446187426875581,"[-0.01, 0.91]"
"Cooper et al. (1997)",23,4.1,"Native","Central fixation",0.337173813282663,"[-0.08, 0.76]"
"Corbeil et al. (2016)",20,8.5,"Non-Native","Central fixation",0.101657436794561,"[-0.78, 0.98]"
"Droucker et al. (2013)",22,6,"Native","Central fixation",0.287170179872501,"[-0.14, 0.71]"
"Droucker et al. (2013)",22,8,"Native","Central fixation",0.288624400808859,"[-0.14, 0.72]"
"Droucker et al. (2013)",22,12,"Native","Central fixation",0.24259581236129,"[-0.18, 0.67]"
"Droucker et al. (2013)",22,18,"Native","Central fixation",0.520761494094586,"[0.08, 0.97]"
"Droucker et al. (2013)",14,6,"Native","Central fixation",-0.00716643363694475,"[-0.53, 0.52]"
"Droucker et al. (2013)",14,8,"Native","Central fixation",0.109676843327839,"[-0.42, 0.64]"
"Droucker et al. (2013)",14,12,"Native","Central fixation",0.289289689579706,"[-0.25, 0.82]"
"Droucker et al. (2013)",14,18,"Native","Central fixation",0.696324128421692,"[0.11, 1.28]"
"Fernald & Kuhl (1987)",20,4.1,"Artificial","Other",0.771,"[0.27, 1.27]"
"Fernald & Kuhl (1987)",20,4,"Artificial","Other",0.148,"[-0.29, 0.59]"
"Fernald & Kuhl (1987)",20,4.1,"Artificial","Other",0.246,"[-0.20, 0.69]"
"Fernald (1985)",48,4,"Native","Other",0.32,"[0.03, 0.61]"
"Hayashi et al. (2001)",24,5.5,"Native","HPP",0.774450026362151,"[0.32, 1.23]"
"Hayashi et al. (2001)",31,8.5,"Native","HPP",0.0906008237768767,"[-0.26, 0.44]"
"Hayashi et al. (2001)",34,12.4,"Native","HPP",1.38215073846522,"[0.91, 1.85]"
"Inoue et al. (2011)",17,8,"Native","HPP",0.475651494181378,"[-0.03, 0.98]"
"Inoue et al. (2011)",17,8.4,"Native","HPP",0.124990036270673,"[-0.35, 0.60]"
"Kaplan et al. (1995a)",77,4.1,"Native","Central fixation",0.76,"[0.30, 1.22]"
"Kaplan et al. (1995a)",26,4.1,"Native","Central fixation",0.82,"[0.38, 1.26]"
"Kaplan et al. (1995b)",30,4.1,"Native","Central fixation",0.289838300546317,"[-0.43, 1.01]"
"Kaplan et al. (1995b)",40,4,"Native","Central fixation",0.250361358897354,"[-0.37, 0.87]"
"Kaplan et al. 2018",45,9,"Native","Central fixation",0.314719555555958,"[0.02, 0.61]"
"Kaplan et al. 2018",21,8.2,"Native","Central fixation",-0.118516461477326,"[-0.55, 0.31]"
"Kim & Johnson (2014)",42,5.2,"Native","Central fixation",0.392027890588775,"[0.08, 0.71]"
"Kim & Johnson (2014)",42,5.2,"Native","Central fixation",-0.123090684316592,"[-0.43, 0.18]"
"Kim & Johnson (2014)",33,3.1,"Native","Central fixation",0.432509528724822,"[0.08, 0.79]"
"Kim & Johnson (2014)",33,3.1,"Native","Central fixation",0.236692828270931,"[-0.11, 0.58]"
"McCartney (1997)",24,4.3,"Native","Central fixation",-0.14255661537192,"[-0.54, 0.26]"
"McFayden et al. (2020)",10,14.5,"Native","Central fixation",0.633469571772469,"[-0.05, 1.31]"
"McFayden et al. (2020)",10,14.5,"Native","Central fixation",0.621965074715825,"[-0.06, 1.30]"
